"product_name","category","subcategory","total_orders","units_sold","total_revenue","total_profit","profit_margin","revenue_rank"
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,10,28,2299.75,-172.94,-0.08,268
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,9,39,2298.11,-12.13,-0.01,269
Bevis Round Conference Table Top & Single Column Base,Furniture,Tables,5,19,2297.54,100.98,0.04,270
Xiaomi Mi3,Technology,Phones,1,4,2279.96,592.79,0.26,271
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furniture,Furnishings,7,25,2267.97,148.37,0.07,272
GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders,10,50,2264.89,569.42,0.25,273
Cisco IP Phone 7961G-GE VoIP phone,Technology,Phones,4,15,2252.43,-119.12,-0.05,274
Plantronics S12 Corded Telephone Headset System,Technology,Accessories,6,23,2242.03,754.53,0.34,275
BPI Conference Tables,Furniture,Tables,5,26,2241.87,-795.97,-0.36,276
Plantronics HL10 Handset Lifter,Technology,Phones,3,24,2227.01,250.54,0.11,277
Konftel 250 Conference phone - Charcoal black,Technology,Phones,4,9,2221.60,324.70,0.15,278
Avanti 1.7 Cu. Ft. Refrigerator,Office Supplies,Appliances,4,24,2221.56,476.63,0.21,279
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,2,13,2207.96,231.65,0.10,280
"Global Value Steno Chair, Gray",Furniture,Chairs,10,43,2204.86,246.00,0.11,281
Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,7,20,2200.46,-130.98,-0.06,282
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Furnishings,4,16,2191.68,569.84,0.26,283
"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,9,44,2185.95,283.75,0.13,284
Jabra Supreme Plus Driver Edition Headset,Technology,Phones,5,22,2159.82,259.18,0.12,285
Razer Kraken PRO Over Ear PC and Music Headset,Technology,Accessories,8,30,2159.73,479.94,0.22,286
Logitech G35 7.1-Channel Surround Sound Headset,Technology,Accessories,6,17,2157.83,699.35,0.32,287
Samsung Galaxy Note 3,Technology,Phones,3,13,2155.90,153.99,0.07,288
Sauder Inglewood Library Bookcases,Furniture,Bookcases,5,14,2154.35,311.18,0.14,289
KI Conference Tables,Furniture,Tables,8,44,2140.88,-479.22,-0.22,290
Mitel 5320 IP Phone VoIP phone,Technology,Phones,4,14,2116.69,211.67,0.10,291
Imation Bio 2GB USB Flash Drive Imation Corp,Technology,Accessories,3,16,2098.88,881.53,0.42,292
Laminate Occasional Tables,Furniture,Tables,3,18,2096.17,-206.53,-0.10,293
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,Furnishings,5,24,2064.23,-173.13,-0.08,294
Cisco SPA 502G IP Phone,Technology,Phones,5,21,2063.14,299.88,0.15,295
"Tenex Chairmat w/ Average Lip, 45"" x 53""",Furniture,Furnishings,4,19,2058.50,-529.76,-0.26,296
HTC One Mini,Technology,Phones,4,19,2041.04,317.50,0.16,297
Hon 2111 Invitation Series Straight Table,Furniture,Tables,7,18,2040.05,-115.31,-0.06,298
"Bevis Traditional Conference Table Top, Plinth Base",Furniture,Tables,3,9,2033.50,-456.70,-0.22,299
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs,4,10,2032.35,-460.67,-0.23,300
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,Technology,Phones,5,18,2027.30,-339.71,-0.17,301
Jawbone JAMBOX Wireless Bluetooth Speaker,Technology,Phones,3,14,2022.27,872.11,0.43,302
Jabra SPEAK 410 Multidevice Speakerphone,Technology,Phones,3,13,2018.70,10.30,0.01,303
Ooma Telo VoIP Home Phone System,Technology,Phones,5,18,2015.84,314.98,0.16,304
Okidata C610n Printer,Technology,Machines,2,5,2011.90,-292.05,-0.15,305
Logitech G602 Wireless Gaming Mouse,Technology,Accessories,9,29,1999.75,515.14,0.26,306
Adtran 1202752G1,Technology,Phones,5,18,1990.64,312.46,0.16,307
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",Technology,Phones,4,12,1979.88,593.96,0.30,308
"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,10,39,1978.93,197.89,0.10,309
Space Solutions Commercial Steel Shelving,Office Supplies,Storage,7,33,1952.43,-74.35,-0.04,310
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Furniture,Chairs,6,20,1947.18,413.65,0.21,311
Harmony Air Purifier,Office Supplies,Appliances,5,13,1946.70,374.22,0.19,312
AT&T 1080 Corded phone,Technology,Phones,7,18,1945.26,145.21,0.07,313
AT&T CL83451 4-Handset Telephone,Technology,Phones,4,10,1936.31,473.78,0.24,314
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,5,32,1926.94,408.74,0.21,315
Logitech Mobile Speakerphone P710e - speaker phone,Technology,Phones,5,17,1916.72,241.61,0.13,316
Plantronics Audio 995 Wireless Stereo Headset,Technology,Accessories,4,18,1913.13,587.13,0.31,317
"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,5,18,1912.31,-68.11,-0.04,318
"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,7,19,1909.82,-78.19,-0.04,319
Polycom SoundPoint Pro SE-225 Corded phone,Technology,Phones,4,19,1903.84,276.06,0.15,320
Bestar Classic Bookcase,Furniture,Bookcases,8,31,1897.81,-612.94,-0.32,321
Novimex Fabric Task Chair,Furniture,Chairs,9,39,1890.38,-131.11,-0.07,322
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Technology,Accessories,7,22,1890.00,622.80,0.33,323
Multicolor Computer Printout Paper,Office Supplies,Paper,5,19,1887.30,851.38,0.45,324
Nortel Networks T7316 E Nt8 B27,Technology,Phones,6,29,1876.52,397.74,0.21,325
"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,4,15,1875.03,-70.49,-0.04,326
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",Office Supplies,Storage,6,20,1857.25,414.92,0.22,327
Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,6,20,1842.27,155.37,0.08,328
"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,8,30,1830.15,80.98,0.04,329
LG G3,Technology,Phones,4,10,1803.11,411.58,0.23,330
Logitech Wireless Performance Mouse MX for PC and Mac,Technology,Accessories,7,21,1799.82,497.95,0.28,331
Xerox 189,Office Supplies,Paper,6,19,1782.45,746.53,0.42,332
Belkin 5 Outlet SurgeMaster Power Centers,Office Supplies,Appliances,10,40,1776.05,207.02,0.12,333
Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,7,21,1775.68,-228.62,-0.13,334
Bevis Steel Folding Chairs,Furniture,Chairs,6,24,1775.07,117.06,0.07,335
GE 2-Jack Phone Line Splitter,Technology,Phones,3,11,1771.51,94.76,0.05,336
Global Deluxe Steno Chair,Furniture,Chairs,10,29,1770.54,-216.31,-0.12,337
Tennsco Regal Shelving Units,Office Supplies,Storage,4,18,1764.53,-6.08,0.00,338
Honeywell Quietcare HEPA Air Cleaner,Office Supplies,Appliances,6,23,1761.76,549.76,0.31,339
"Global Geo Office Task Chair, Gray",Furniture,Chairs,7,25,1757.27,-166.01,-0.09,340
Global Low Back Tilter Chair,Furniture,Chairs,8,21,1746.95,-246.39,-0.14,341
Xerox 1941,Office Supplies,Paper,5,19,1740.51,704.59,0.40,342
AT&T TR1909W,Technology,Phones,4,15,1738.66,340.17,0.20,343
Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,4,17,1727.06,129.53,0.08,344
First Data FD10 PIN Pad,Technology,Accessories,5,24,1722.20,15.80,0.01,345
Xerox 1908,Office Supplies,Paper,7,32,1712.99,799.39,0.47,346
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Office Supplies,Storage,2,5,1706.51,222.59,0.13,347
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,3,15,1706.25,-1148.44,-0.67,348
Kensington Orbit Wireless Mobile Trackball for PC and Mac,Technology,Accessories,5,33,1703.72,357.54,0.21,349
Xerox 1945,Office Supplies,Paper,8,45,1696.99,756.27,0.45,350
Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,6,20,1690.82,360.96,0.21,351
"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,5,13,1689.97,-114.68,-0.07,352
Hon Comfortask Task/Swivel Chairs,Furniture,Chairs,6,18,1686.90,-36.47,-0.02,353
Staple envelope,Office Supplies,Envelopes,48,170,1686.81,751.63,0.45,354
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Furnishings,5,18,1685.44,244.39,0.15,355
ClearOne Communications CHAT 70 OC Speaker Phone,Technology,Phones,4,12,1685.29,273.46,0.16,356
Polycom CX300 Desktop Phone USB VoIP phone,Technology,Phones,5,15,1679.89,60.00,0.04,357
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies,Appliances,6,20,1674.40,146.51,0.09,358
Panasonic KX TS3282W Corded phone,Technology,Phones,7,25,1665.80,178.48,0.11,359
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,Bookcases,4,12,1646.92,-285.95,-0.17,360
Enermax Aurora Lite Keyboard,Technology,Accessories,5,21,1641.15,722.11,0.44,361
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,7,29,1636.86,375.97,0.23,362
"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,8,22,1635.80,-110.13,-0.07,363
Motorola Moto X,Technology,Phones,2,6,1631.95,142.80,0.09,364
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,Furnishings,6,26,1623.25,-343.10,-0.21,365
Panasonic KX MC6040 Color Laser Multifunction Printer,Technology,Machines,2,5,1619.82,-22.50,-0.01,366
Plantronics Audio 478 Stereo USB Headset,Technology,Accessories,9,34,1619.68,514.90,0.32,367
"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,10,44,1617.95,448.16,0.28,368
Logitech G600 MMO Gaming Mouse,Technology,Accessories,8,21,1615.80,540.73,0.33,369
AT&T 841000 Phone,Technology,Phones,7,28,1614.60,165.60,0.10,370
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,6,31,1589.41,253.84,0.16,371
AT&T 1080 Phone,Technology,Phones,3,13,1589.08,271.24,0.17,372
Mophie Juice Pack Helium for iPhone,Technology,Phones,6,24,1583.80,201.58,0.13,373
Deflect-o Glass Clear Studded Chair Mats,Furniture,Furnishings,7,26,1579.37,318.36,0.20,374
Microsoft Sculpt Comfort Mouse,Technology,Accessories,10,42,1574.03,634.41,0.40,375
GBC ProClick Punch Binding System,Office Supplies,Binders,7,31,1573.91,562.38,0.36,376
"Hon Metal Bookcases, Black",Furniture,Bookcases,5,30,1570.08,-26.97,-0.02,377
Xerox 1919,Office Supplies,Paper,9,40,1565.82,729.62,0.47,378
Cameo Buff Policy Envelopes,Office Supplies,Envelopes,8,28,1555.75,632.26,0.41,379
Luxo Adjustable Task Clamp Lamp,Furniture,Furnishings,4,18,1545.82,362.47,0.23,380
Avaya 5420 Digital phone,Technology,Phones,3,12,1538.89,323.98,0.21,381
Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,3,12,1524.53,53.03,0.03,382
Harbour Creations 67200 Series Stacking Chairs,Furniture,Chairs,8,24,1501.90,254.82,0.17,383
LG G2,Technology,Phones,1,5,1499.97,-374.99,-0.25,384
Microsoft Natural Keyboard Elite,Technology,Accessories,4,29,1497.00,20.96,0.01,385
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories,9,29,1489.33,255.31,0.17,386
Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,4,22,1474.31,-191.86,-0.13,387
"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,6,18,1473.30,73.72,0.05,388
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Office Supplies,Appliances,4,8,1473.11,311.22,0.21,389
"Tenex ""The Solids"" Textured Chair Mats",Furniture,Furnishings,7,26,1469.16,-40.58,-0.03,390
"Plantronics CS 50-USB - headset - Convertible, Monaural",Technology,Phones,5,13,1468.69,178.15,0.12,391
"Mini 13-1/2 Capacity Data Binder Rack, Pearl",Office Supplies,Storage,5,12,1465.74,287.91,0.20,392
"Global Leather Task Chair, Black",Furniture,Chairs,8,19,1448.84,63.89,0.04,393
"SAFCO Commercial Wire Shelving, 72h",Office Supplies,Storage,5,24,1445.26,-24.50,-0.02,394
Nokia Lumia 1020,Technology,Phones,1,4,1439.97,144.00,0.10,395
"Leather Task Chair, Black",Furniture,Chairs,6,19,1437.48,54.59,0.04,396
"Bush Andora Conference Table, Maple/Graphite Gray Finish",Furniture,Tables,4,12,1436.23,-143.62,-0.10,397
Xerox 1893,Office Supplies,Paper,11,39,1434.65,619.36,0.43,398
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,4,14,1431.94,46.33,0.03,399
"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,4,10,1427.68,-8.55,-0.01,400
"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,9,32,1426.89,-20.29,-0.01,401
Fellowes Bankers Box Stor/Drawer Steel Plus,Office Supplies,Storage,12,50,1426.31,-12.79,-0.01,402
Global Deluxe Office Fabric Chairs,Furniture,Chairs,6,17,1420.50,229.39,0.16,403
Logitech Wireless Marathon Mouse M705,Technology,Accessories,8,30,1409.72,554.89,0.39,404
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,15,52,1409.53,536.22,0.38,405
"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage,10,31,1400.26,-179.67,-0.13,406
Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,Technology,Accessories,4,21,1399.80,429.74,0.31,407
"Global Armless Task Chair, Royal Blue",Furniture,Chairs,8,28,1396.44,-20.73,-0.01,408
Hewlett-Packard Deskjet 6540 Color Inkjet Printer,Technology,Machines,2,6,1396.21,139.62,0.10,409
Avaya IP Phone 1140E VoIP phone,Technology,Phones,1,5,1394.95,362.69,0.26,410
Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines,2,4,1391.40,-55.66,-0.04,411
Cisco IP Phone 7961G VoIP phone - Dark gray,Technology,Phones,3,12,1386.69,228.40,0.16,412
Samsung Rugby III,Technology,Phones,8,24,1385.79,229.65,0.17,413
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,10,26,1383.08,381.21,0.28,414
Cisco SPA525G2 5-Line IP Phone,Technology,Machines,1,8,1379.92,648.56,0.47,415
"Belkin 325VA UPS Surge Protector, 6'",Office Supplies,Appliances,4,13,1379.17,199.62,0.14,416
Sauder Camden County Collection Library,Furniture,Bookcases,2,16,1368.26,-103.48,-0.08,417
Safco Industrial Wire Shelving,Office Supplies,Storage,5,16,1363.06,-126.71,-0.09,418
Ames Color-File Green Diamond Border X-ray Mailers,Office Supplies,Envelopes,4,18,1360.48,559.31,0.41,419
Airmail Envelopes,Office Supplies,Envelopes,6,19,1359.67,514.49,0.38,420
Plantronics Voyager Pro Legend,Technology,Phones,3,8,1359.53,173.03,0.13,421
DYMO CardScan Personal V9 Business Card Scanner,Technology,Machines,3,11,1343.92,463.97,0.35,422
Novimex Turbo Task Chair,Furniture,Chairs,6,22,1341.52,-32.65,-0.02,423
Apple iPhone 5C,Technology,Phones,4,15,1339.87,229.98,0.17,424
AT&T 17929 Lendline Telephone,Technology,Phones,10,35,1339.10,167.39,0.13,425
Luxo Professional Combination Clamp-On Lamps,Furniture,Furnishings,5,13,1329.90,345.77,0.26,426
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,9,31,1324.80,201.83,0.15,427
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,6,24,1322.17,172.25,0.13,428
Xerox 1891,Office Supplies,Paper,7,30,1320.57,542.90,0.41,429
"Hon Metal Bookcases, Putty",Furniture,Bookcases,5,19,1320.23,362.71,0.27,430
Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,Office Supplies,Appliances,3,12,1320.17,417.02,0.32,431
Avery Arch Ring Binders,Office Supplies,Binders,10,40,1318.87,87.15,0.07,432
Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,7,19,1311.88,-42.11,-0.03,433
Nokia Lumia 925,Technology,Phones,3,11,1310.30,284.74,0.22,434
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,5,20,1304.13,-111.33,-0.09,435
"Hon 30"" x 60"" Table with Locking Drawer",Furniture,Tables,3,6,1296.03,-177.35,-0.14,436
GBC Recycled Regency Composition Covers,Office Supplies,Binders,6,26,1291.25,451.94,0.35,437
Fellowes Recycled Storage Drawers,Office Supplies,Storage,3,12,1287.95,48.85,0.04,438
Star Micronics TSP800 TSP847IIU Receipt Printer,Technology,Machines,2,4,1286.85,360.32,0.28,439
Panasonic KX TS208W Corded phone,Technology,Phones,6,32,1283.54,154.81,0.12,440
Tennsco Industrial Shelving,Office Supplies,Storage,9,29,1281.44,-108.58,-0.08,441
White Computer Printout Paper by Universal,Office Supplies,Paper,8,37,1279.08,547.68,0.43,442
Luxo Professional Magnifying Clamp-On Fluorescent Lamps,Furniture,Furnishings,4,13,1268.92,106.09,0.08,443
"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",Furniture,Chairs,2,7,1268.70,73.19,0.06,444
Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes,5,14,1266.72,570.02,0.45,445
Bush Somerset Collection Bookcase,Furniture,Bookcases,4,12,1263.96,-56.32,-0.04,446
Panasonic KX T7736-B Digital phone,Technology,Phones,5,10,1259.58,134.96,0.11,447
Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,Technology,Accessories,4,17,1247.84,377.55,0.30,448
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Office Supplies,Appliances,6,27,1243.79,74.99,0.06,449
Hon Valutask Swivel Chairs,Furniture,Chairs,4,13,1242.05,139.35,0.11,450
"SAFCO Mobile Desk Side File, Wire Frame",Office Supplies,Storage,8,31,1240.04,259.13,0.21,451
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,Labels,11,43,1233.41,524.51,0.43,452
Maxell 4.7GB DVD-R,Technology,Accessories,11,49,1231.69,411.23,0.33,453
Xerox 1888,Office Supplies,Paper,6,24,1231.66,539.27,0.44,454
Hon 4060 Series Tables,Furniture,Tables,4,13,1231.56,96.29,0.08,455
Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,Technology,Phones,4,21,1229.84,127.48,0.10,456
Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,8,27,1229.75,-12.00,-0.01,457
Xerox 1917,Office Supplies,Paper,5,25,1222.75,574.69,0.47,458
Plantronics Voyager Pro HD - Bluetooth Headset,Technology,Phones,5,25,1221.81,376.94,0.31,459
Satellite Sectional Post Binders,Office Supplies,Binders,11,38,1219.82,329.05,0.27,460
"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,12,47,1217.11,215.56,0.18,461
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Technology,Machines,2,10,1212.71,-1057.23,-0.87,462
APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,Appliances,8,20,1207.20,80.48,0.07,463
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings,5,18,1200.94,-256.56,-0.21,464
"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,7,30,1193.82,278.85,0.23,465
Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,7,24,1187.56,-30.23,-0.03,466
"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,6,24,1184.23,448.76,0.38,467
SanDisk Cruzer 64 GB USB Flash Drive,Technology,Accessories,9,34,1184.03,319.62,0.27,468
GBC Therma-A-Bind 250T Electric Binding System,Office Supplies,Binders,2,12,1180.70,413.25,0.35,469
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art,5,25,1166.44,310.89,0.27,470
GE 30522EE2,Technology,Phones,3,10,1159.90,336.37,0.29,471
Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,5,25,1154.66,47.28,0.04,472
LG Exalt,Technology,Phones,3,12,1154.33,-212.15,-0.18,473
Logitech Illuminated - Keyboard,Technology,Accessories,6,20,1139.81,515.91,0.45,474
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,7,22,1135.03,75.23,0.07,475
"File Shuttle II and Handi-File, Black",Office Supplies,Storage,7,34,1125.15,260.95,0.23,476
HTC One,Technology,Phones,4,14,1119.89,125.99,0.11,477
ClearSounds CSC500 Amplified Spirit Phone Corded phone,Technology,Phones,6,19,1119.84,162.38,0.15,478
O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,5,22,1119.19,147.09,0.13,479
Advantus Rolling Drawer Organizers,Office Supplies,Storage,6,31,1115.92,233.19,0.21,480
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,9,33,1115.64,-125.20,-0.11,481
Dana Halogen Swing-Arm Architect Lamp,Furniture,Furnishings,6,28,1114.38,288.43,0.26,482
"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,1,8,1113.02,111.30,0.10,483
netTALK DUO VoIP Telephone Service,Technology,Phones,7,26,1112.79,430.42,0.39,484
Hypercom P1300 Pinpad,Technology,Accessories,7,21,1108.80,275.31,0.25,485
Xerox 1988,Office Supplies,Paper,9,41,1102.89,404.29,0.37,486
Ibico Plastic Spiral Binding Combs,Office Supplies,Binders,13,47,1100.48,328.93,0.30,487
Ibico Laser Imprintable Binding System Covers,Office Supplies,Binders,8,34,1100.40,138.34,0.13,488
Xerox 1906,Office Supplies,Paper,7,32,1098.64,497.58,0.45,489
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Office Supplies,Paper,10,21,1098.50,492.66,0.45,490
Xerox 1934,Office Supplies,Paper,5,20,1097.21,526.21,0.48,491
Catalog Binders with Expanding Posts,Office Supplies,Binders,8,36,1089.94,-242.21,-0.22,492
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Furniture,Tables,5,16,1088.64,-104.83,-0.10,493
Global Deluxe High-Back Office Chair in Storm,Furniture,Chairs,3,10,1087.92,-149.59,-0.14,494
Maxell LTO Ultrium - 800 GB,Technology,Accessories,8,41,1086.01,156.46,0.14,495
RCA Visys Integrated PBX 8-Line Router,Technology,Phones,5,19,1085.24,130.63,0.12,496
GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,10,39,1073.90,364.72,0.34,497
Belkin 8 Outlet Surge Protector,Office Supplies,Appliances,7,30,1073.68,188.51,0.18,498
Carina Media Storage Towers in Natural & Black,Office Supplies,Storage,5,20,1073.25,-121.96,-0.11,499
Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Office Supplies,Art,7,27,1073.11,206.27,0.19,500
Recycled Steel Personal File for Standard File Folders,Office Supplies,Storage,4,20,1072.63,254.33,0.24,501
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Bookcases,2,9,1072.34,-78.36,-0.07,502
AT&T 1070 Corded Phone,Technology,Phones,3,12,1070.30,133.79,0.13,503
"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,3,10,1064.62,24.20,0.02,504
Recycled Steel Personal File for Hanging File Folders,Office Supplies,Storage,6,21,1053.03,151.66,0.14,505
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,4,18,1051.78,277.29,0.26,506
"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Furniture,Furnishings,7,27,1047.74,340.51,0.32,507
"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Office Supplies,Appliances,4,13,1042.08,291.78,0.28,508
"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings,6,27,1042.07,294.31,0.28,509
GBC Twin Loop Wire Binding Elements,Office Supplies,Binders,10,47,1041.66,259.58,0.25,510
Balt Split Level Computer Training Table,Furniture,Tables,5,12,1040.62,-357.98,-0.34,511
Logitech G13 Programmable Gameboard with LCD Display,Technology,Accessories,4,14,1039.87,43.19,0.04,512
Star Micronics TSP100 TSP143LAN Receipt Printer,Technology,Machines,1,4,1035.80,269.31,0.26,513
Okidata B400 Printer,Technology,Machines,2,3,1029.60,115.83,0.11,514
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,Office Supplies,Appliances,3,6,1023.35,-9.30,-0.01,515
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,6,28,1016.79,453.76,0.45,516
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,3,10,1014.17,-418.55,-0.41,517
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,4,10,1010.78,150.54,0.15,518
"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Technology,Machines,1,3,1007.98,43.20,0.04,519
WD My Passport Ultra 1TB Portable External Hard Drive,Technology,Accessories,6,17,1007.40,33.81,0.03,520
Bevis Rectangular Conference Tables,Furniture,Tables,4,13,1007.26,-586.84,-0.58,521
Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,9,34,1007.15,342.56,0.34,522
"Eldon ""L"" Workstation Diamond Chairmat",Furniture,Furnishings,4,19,1002.94,-267.45,-0.27,523
Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,7,23,1002.36,124.61,0.12,524
Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,3,9,1000.73,100.07,0.10,525
Home/Office Personal File Carts,Office Supplies,Storage,7,30,980.23,198.13,0.20,526
Xerox 1909,Office Supplies,Paper,9,40,970.78,400.98,0.41,527
Global Italian Leather Office Chair,Furniture,Chairs,2,8,969.25,204.33,0.21,528
Hon Every-Day Chair Series Swivel Task Chairs,Furniture,Chairs,3,10,967.84,12.10,0.01,529
Xerox 1885,Office Supplies,Paper,5,20,960.80,461.18,0.48,530
Xerox 1914,Office Supplies,Paper,5,19,956.30,423.74,0.44,531
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,6,20,953.82,-63.59,-0.07,532
Belkin Premiere Surge Master II 8-outlet surge protector,Office Supplies,Appliances,7,26,952.17,55.38,0.06,533
"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",Furniture,Furnishings,5,17,949.03,247.57,0.26,534
Eureka The Boss Cordless Rechargeable Stick Vac,Office Supplies,Appliances,6,19,948.23,241.14,0.25,535
"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Office Supplies,Envelopes,5,16,939.09,421.98,0.45,536
